taxon_oid	Domain	Status	Study Name	Genome Name / Sample Name	Sequencing Center	IMG Genome ID 	Genome Size   * assembled	Gene Count   * assembled
637000306	Bacteria	Finished	Symbiobacterium thermophilum IAM 14863	Symbiobacterium thermophilum IAM 14863	"Kitasato University, National Institute of Infectious Diseases, Japan, Nihon University"	637000306	3566135	3518
2721755840	Bacteria	Finished	Complete genome sequence of Streptococcus thermophilus KLDS 3.1003	Streptococcus thermophilus KLDS 3.1003	"Key Laboratory of Dairy Science, Northeast Agricultural University"	2721755840	1899956	2097
2504756006	Bacteria	Finished	A Genomic Encyclopedia of Bacteria and Archaea (GEBA)	"Thermodesulfobium narugense Na82, DSM 14796"	DOE Joint Genome Institute (JGI)	2504756006	1898865	1910
2721755814	Bacteria	Finished	Genome sequencing of Virgibacillus halodenitrificans PDB-F2	Virgibacillus halodenitrificans PDB-F2	East China University of Science and Technology	2721755814	3917759	3954
2671180477	Bacteria	Permanent Draft	Numidum massiliense genome	Numidum massiliense mt3	Research Unit on Emerging Infectious and Tropical Diseases ( URMITE )	2671180477	3754846	3515
2507262031	Bacteria	Finished	Halorespiring Firmicutes (reseq) - Exploring genomic plasticity of closely related dedicated degraders with diverging ecophysiological features and bioremediating capacity	"Desulfitobacterium dehalogenans JW/IU-DC1, ATCC 51507"	DOE Joint Genome Institute (JGI)	2507262031	4321753	4139
2551306141	Bacteria	Permanent Draft	Scytonema hofmanni PCC 7110	Scytonema hofmanni PCC 7110	Heinrich Heine University of Dusseldorf	2551306141	12011284	10868
2568526006	Bacteria	Permanent Draft	"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project"	Garciella nitratireducens DSM 15102	DOE Joint Genome Institute (JGI)	2568526006	2163332	2194
2600255145	Bacteria	Permanent Draft	Stoquefichus massiliensis genome sequence	Erysipelotrichaceae bacterium AP9	European Bioinformatics Institute	2600255145	3433040	3568
2663762851	Bacteria	Permanent Draft	Genome sequencing of the human gut microbiota	Clostridiales bacterium SIT13	Research Unit on Emerging Infectious and Tropical Diseases ( URMITE )	2663762851	1920334	1855
646311956	Bacteria	Finished	A Genomic Encyclopedia of Bacteria and Archaea (GEBA)	"Streptobacillus moniliformis 9901, DSM 12112"	DOE Joint Genome Institute (JGI)	646311956	1673280	1568
2642422556	Bacteria	Permanent Draft	"Deep subsurface shale carbon reservoir microbial communities from Ohio and West Virginia, USA"	Candidatus Frackibacter sp. WG11	DOE Joint Genome Institute (JGI)	2642422556	2760346	2779
2599185256	Bacteria	Draft	Bacterial and archaeal communities from various locations to study Microbial Dark Matter (Phase II)	Candidatus Kryptonium thompsoni GFM JGI-4	McGill University	2599185256	2592687	2353
2540341159	Bacteria	Finished	Enterococcus -  Broad Institute	Enterococcus casseliflavus EC20	Broad Institute	2540341159	3427276	3189
2524614635	Bacteria	Permanent Draft	"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project"	Anaeroarcus burkinensis DSM 6283	DOE Joint Genome Institute (JGI)	2524614635	3340167	3222
2515154121	Bacteria	Permanent Draft	"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project"	Caldibacillus debilis DSM 16016	DOE Joint Genome Institute (JGI)	2515154121	3061272	2896
2634166305	Bacteria	Permanent Draft	"Genomic Encyclopedia of Archaeal and Bacterial Type Strains, Phase II (KMG-II): from individual species to whole genera"	Peptococcus niger DSM 20475	DOE Joint Genome Institute (JGI)	2634166305	1968473	1928
2556921039	Bacteria	Permanent Draft	Continuation of the Genomic Encyclopedia of Bacteria and Archaea pilot project (GEBA)	Desulfitibacter alkalitolerans DSM 16504	DOE Joint Genome Institute (JGI)	2556921039	4361351	4346
2751185656	Bacteria	Permanent Draft	Firmicutes bacterium MLFW-2 Genome sequencing	Firmicutes bacterium MLFW-2	University of Georgia	2751185656	3113247	3121
2513237306	Bacteria	Permanent Draft	Human Microbiome Project (HMP) Reference Genomes	Oribacterium asaccharolyticum ACB7	Broad Institute	2513237306	2515191	2269
2509601027	Bacteria	Permanent Draft	GEBA-PCC	Fortiea contorta PCC 7126	DOE Joint Genome Institute (JGI)	2509601027	5742264	5277
2541046978	Bacteria	Permanent Draft	Human Microbiome Project (HMP) Reference Genomes	Facklamia hominis ACS-120-V-Sch10	Broad Institute	2541046978	1918533	1824
2756170311	Bacteria	Permanent Draft	"Genomic Encyclopedia of Type Strains, Phase IV (KMG-IV): sequencing the most valuable type-strain genomes for metagenomic binning, comparative biology and taxonomic classification"	Seleniivibrio woodruffii DSM 24984	DOE Joint Genome Institute (JGI)	2756170311	2906047	2763
2513237186	Bacteria	Finished	Halobacillus halophilus DSM 2266	Halobacillus halophilus DSM 2266	Max Planck Institute	2513237186	4170008	4217
2510436000	Bacteria	Finished	GEBA-PCC	Chamaesiphon minutus PCC 6605	DOE Joint Genome Institute (JGI)	2510436000	6761765	6427
2619618820	Bacteria	Permanent Draft	"Genomic Encyclopedia of Type Strains, Phase III (KMG-III): the genomes of soil and plant-associated and newly described type strains"	Bhargavaea beijingensis CGMCC 1.6762	DOE Joint Genome Institute (JGI)	2619618820	2988557	3044
646311965	Bacteria	Finished	A Genomic Encyclopedia of Bacteria and Archaea (GEBA)	"Veillonella parvula Te3, DSM 2008"	DOE Joint Genome Institute (JGI)	646311965	2132142	1923
2264867254	Bacteria	Permanent Draft	GEBA-MDM	Candidatus Latescibacter anaerobius SCGC AAA252-E07 (contamination screened) (SAK_001_42)	DOE Joint Genome Institute (JGI)	2264867254	2290285	1985
2582581271	Bacteria	Permanent Draft	"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project"	"Anaerotignum propionicum X2, DSM 1682"	DOE Joint Genome Institute (JGI)	2582581271	3076693	2976
637000329	Bacteria	Finished	Trichodesmium erythraeum IMS101	Trichodesmium erythraeum IMS101	DOE Joint Genome Institute (JGI)	637000329	7750108	5156
2731957579	Bacteria	Permanent Draft	Globicatella sanguinis NBRC 15551	Globicatella sanguinis NBRC 15551	National Institute of Technology and Evaluation	2731957579	2310757	2111
2770939512	Bacteria	Permanent Draft	"Genomic Encyclopedia of Type Strains, Phase IV (KMG-IV): sequencing the most valuable type-strain genomes for metagenomic binning, comparative biology and taxonomic classification"	Saliterribacillus persicus DSM 27696	DOE Joint Genome Institute (JGI)	2770939512	3763507	3682
646564577	Bacteria	Finished	A Genomic Encyclopedia of Bacteria and Archaea (GEBA)	Syntrophothermus lipocalidus DSM 12680	DOE Joint Genome Institute (JGI)	646564577	2405559	2440
2687453103	Bacteria	Finished	Kurthia sp 11kri321 genome sequencing and assembly	Kurthia sp. 11kri321	Los Alamos National Laboratory	2687453103	2964527	3013
2636415895	Bacteria	Finished	Jeotgalibacillus malaysiensis Genome sequencing	Jeotgalibacillus sp. D5	"University of Technology, Malaysia"	2636415895	3516439	3705
2627854096	Bacteria	Finished	Genome sequencing of Listeria ivanovii strains - ETH Zurich	Listeria ivanovii londoniensis WSLC 30151	ETH Zurich	2627854096	3045035	3049
2728369708	Bacteria	Permanent Draft	Genome sequencing of Thermodesulfovibrio aggregans JCM 13213	Thermodesulfovibrio aggregans JCM 13213	University of Tokyo	2728369708	1962511	3743
2548876996	Bacteria	Permanent Draft	Fischerella muscicola PCC 7414	Fischerella muscicola PCC 7414	Heinrich Heine University of Dusseldorf	2548876996	6902625	6146
2551306142	Bacteria	Permanent Draft	Chlorogloeopsis fritschii PCC 6912	Chlorogloeopsis fritschii PCC 6912	Heinrich Heine University of Dusseldorf	2551306142	7751745	6905
2602042026	Bacteria	Permanent Draft	"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project"	Propionispira arboris DSM 2179	DOE Joint Genome Institute (JGI)	2602042026	4261607	4076
2508501075	Bacteria	Permanent Draft	GEBA-PCC	Kamptonema formosum PCC 6407	DOE Joint Genome Institute (JGI)	2508501075	6894060	5797
2770939501	Bacteria	Permanent Draft	"Genomic Encyclopedia of Type Strains, Phase IV (KMG-IV): sequencing the most valuable type-strain genomes for metagenomic binning, comparative biology and taxonomic classification"	Paraliobacillus ryukyuensis DSM 15140	DOE Joint Genome Institute (JGI)	2770939501	3095919	3196
2558309149	Bacteria	Permanent Draft	Mucispirillum schaedleri ASF457	Mucispirillum schaedleri ASF457	Broad Institute	2558309149	2319180	2190
2511231141	Bacteria	Finished	Alicyclobacillus acidocaldarius acidocaldarius Tc-4-1	Alicyclobacillus acidocaldarius acidocaldarius Tc-4-1	Beijing Genomics Institute (BGI)	2511231141	3124048	3289
640753002	Bacteria	Finished	Metal-Reducing Microorganisms	Alkaliphilus metalliredigens QYMF	DOE Joint Genome Institute (JGI)	640753002	4929566	5016
2264867148	Bacteria	Permanent Draft	GEBA-MDM	Microgenomates bacterium SCGC AAA011-E14 (contamination screened) (DUSEL_001_182)	DOE Joint Genome Institute (JGI)	2264867148	508619	581
2721755948	Bacteria	Permanent Draft	"Comprehensive metagenome and single cell genome sequencing from the open ocean community of North Pacfic Subtropical Gyre, Station ALOHA"	Gemmatimonadales bacterium JGI 01_H16 (contamination screened)	DOE Joint Genome Institute (JGI)	2721755948	616946	581
2744054502	Bacteria	Permanent Draft	Ruminococcaceae bacterium 668 genome sequencing	Ruminococcaceae bacterium 668	Pirogov Russian National Research Medical University	2744054502	3942377	3834
637000320	Bacteria	Finished	Thermosynechococcus elongatus BP-1	Thermosynechococcus elongatus BP-1	Kazusa DNA Research Institute	637000320	2593857	2555
2596583544	Bacteria	Permanent Draft	"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project"	Sedimentibacter saalensis DSM 13558	DOE Joint Genome Institute (JGI)	2596583544	3834552	3632
650716026	Bacteria	Finished	Leaf Cutter and Ant Microbe Symbiosis	"Cellulosilyticum lentocellum RHM5, DSM 5427"	DOE Joint Genome Institute (JGI)	650716026	4714237	4416
2687453280	Bacteria	Finished	Erysipelothrix larvae LV19 Genome sequencing and assembly	Erysipelothrix larvae LV19	Korea Research Institute Bioscience and Biotechnology	2687453280	2511486	2392
2616644817	Bacteria	Permanent Draft	"Genomic Encyclopedia of Archaeal and Bacterial Type Strains, Phase II (KMG-II): from individual species to whole genera"	Alkalibacterium gilvum DSM 25751	DOE Joint Genome Institute (JGI)	2616644817	2181898	2179
2585428150	Bacteria	Permanent Draft	"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project"	Dethiosulfatibacter aminovorans DSM 17477	DOE Joint Genome Institute (JGI)	2585428150	4034121	3701
2770939568	Bacteria	Permanent Draft	"Genomic Encyclopedia of Type Strains, Phase IV (KMG-IV): sequencing the most valuable type-strain genomes for metagenomic binning, comparative biology and taxonomic classification"	Herbinix hemicellulosilytica DSM 29228	DOE Joint Genome Institute (JGI)	2770939568	2958342	2682
2588253772	Bacteria	Permanent Draft	Fervidicella metallireducens AeB	Fervidicella Metallireducens AeB	Griffith University	2588253772	2892465	2889
2757320831	Bacteria	Finished	Genome sequencing and assembly of a defined mouse intestinal bacterial community	Acutalibacter muris KB18	Max von Pettenkofer-Institute	2757320831	3802913	3883
2600255235	Bacteria	Permanent Draft	Human Microbiome Project (HMP) Reference Genomes	Gemella bergeriae ATCC 700627	Washington University	2600255235	1603008	1543
643692020	Bacteria	Finished	Deinococcus deserti VCD115	Deinococcus deserti VCD115	CEA Genoscope	643692020	3855329	3511
643348582	Bacteria	Finished	Thermomicrobium roseum DSM 5159	Thermomicrobium roseum DSM 5159	J. Craig Venter Institute (JCVI)	643348582	2920744	2901
2503754017	Bacteria	Finished	GEBA-PCC	Gloeocapsa sp. PCC 7428	DOE Joint Genome Institute (JGI)	2503754017	5882710	5304
2617271285	Bacteria	Permanent Draft	Thermoactinomyces daqus Genome sequencing	Thermoactinomyces daqus H-18	China Center of Industrial Culture Collection	2617271285	3441572	3741
2634166350	Bacteria	Permanent Draft	"Genomic Encyclopedia of Archaeal and Bacterial Type Strains, Phase II (KMG-II): from individual species to whole genera"	Fontibacillus panacisegetis DSM 28129	DOE Joint Genome Institute (JGI)	2634166350	5264638	4892
2724679194	Bacteria	Permanent Draft	Anaerosporomusa subterraneum strain:RU4 Genome sequencing	Anaerosporomusa subterraneum RU4	"Rutgers, The State University of New Jersey"	2724679194	3966109	3857
2582581273	Bacteria	Permanent Draft	"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project"	Atopostipes suicloacalis DSM 15692	DOE Joint Genome Institute (JGI)	2582581273	2124342	2026
648276680	Bacteria	Permanent Draft	A Genomic Encyclopedia of Bacteria and Archaea (GEBA)	"Ktedonobacter racemifer SOSP1-21, DSM 44963"	DOE Joint Genome Institute (JGI)	648276680	13661586	11540
637000118	Bacteria	Finished	Geobacillus kaustophilus HTA426	Geobacillus kaustophilus HTA426	Japan Agency for Marine-Earth Science and Technology	637000118	3592666	3714
2718218000	Bacteria	Finished	Moorella thermoacetica DSM 103132 Genome sequencing	Moorella thermoacetica DSM 103132	Technical University of Denmark	2718218000	2976077	3130
646311948	Bacteria	Finished	A Genomic Encyclopedia of Bacteria and Archaea (GEBA)	Pirellula staleyi DSM 6068	DOE Joint Genome Institute (JGI)	646311948	6196199	4825
2634166354	Bacteria	Permanent Draft	"Genomic Encyclopedia of Archaeal and Bacterial Type Strains, Phase II (KMG-II): from individual species to whole genera"	Clostridium cocleatum DSM 1551	DOE Joint Genome Institute (JGI)	2634166354	2957106	2838
2636415708	Bacteria	Finished	Complete Genome Sequences for Biothreat Assay-Relevant Bacillus Species	Bacillus cereus E33L	Los Alamos National Laboratory	2636415708	5846781	6037
2728369511	Bacteria	Permanent Draft	"Genomic Encyclopedia of Archaeal and Bacterial Type Strains, Phase II (KMG-II): from individual species to whole genera"	Laceyella sediminis DSM 45263	DOE Joint Genome Institute (JGI)	2728369511	3392166	3513
2690315779	Bacteria	Permanent Draft	Rubeoparvulum massiliensis genome	Bacillaceae bacterium mt6	Research Unit on Emerging Infectious and Tropical Diseases ( URMITE )	2690315779	2843796	2827
2554235000	Bacteria	Draft	Melainabacteria	Caenarcanum bioreactoricola UASB_169 (SM2F09_MP_sspace)	U.S. Department of Energy (DOE)	2554235000	1841312	1913
2588254267	Bacteria	Permanent Draft	"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project"	Papillibacter cinnamivorans DSM 12816	DOE Joint Genome Institute (JGI)	2588254267	2890610	2751
643886103	Bacteria	Permanent Draft	Human Microbiome Project (HMP) Reference Genomes	"Holdemania filiformis VPI J1-31B-1, DSM 12042"	Washington University in St. Louis	643886103	3803745	4272
2599185233	Bacteria	Permanent Draft	"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project"	Sporolituus thermophilus DSM 23256	DOE Joint Genome Institute (JGI)	2599185233	2861023	2977
641522610	Bacteria	Finished	Desulforudis audaxviator MP104C	Candidatus Desulforudis audaxviator MP104C	DOE Joint Genome Institute (JGI)	641522610	2349476	2293
2744054529	Bacteria	Permanent Draft	Genome sequencing of Leptotrichiaceae strains isolated from a guinea pig	Oceanivirga salmonicida AVG2115	Robert Koch Institute (RKI)	2744054529	1714679	1784
2721755667	Bacteria	Finished	Vagococcus teuberi genome sequencing	Vagococcus teuberi DSM 21459	ETH Zurich	2721755667	2184285	2222
2599185228	Bacteria	Permanent Draft	"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project"	Marvinbryantia formatexigens I-52	DOE Joint Genome Institute (JGI)	2599185228	4521825	4256
2503538017	Bacteria	Permanent Draft	A Genomic Encyclopedia of Bacteria and Archaea (GEBA)	"Thermanaeromonas toyohensis ToBE, DSM 14490"	DOE Joint Genome Institute (JGI)	2503538017	3334024	3396
649633056	Bacteria	Finished	A Genomic Encyclopedia of Bacteria and Archaea (GEBA)	"Ilyobacter polytropus CuHBu1, DSM 2926"	DOE Joint Genome Institute (JGI)	649633056	3132314	3042
646564578	Bacteria	Finished	Extremophiles	Thermincola potens JR	DOE Joint Genome Institute (JGI)	646564578	3157416	3081
2517572011	Bacteria	Permanent Draft	Planctomyces maris DSM 8797	Gimesia maris PLM2	University of Oslo	2517572011	7642810	6002
2706794911	Bacteria	Permanent Draft	"Genomic Encyclopedia of Type Strains, Phase III (KMG-III): the genomes of soil and plant-associated and newly described type strains"	Anaerovirgula multivorans SCA	DOE Joint Genome Institute (JGI)	2706794911	5388996	5310
2684623075	Bacteria	Finished	Solibacillus silvestris strain:DSM-12223 Genome sequencing and assembly	Solibacillus silvestris DSM 12223	Charles River Laboratories International	2684623075	3991226	4042
649989993	Bacteria	Permanent Draft	Human Microbiome Project (HMP) Reference Genomes	Pseudoramibacter alactolyticus ATCC 23263	Baylor College of Medicine	649989993	2327229	2572
2690315950	Bacteria	Finished	Anoxybacillus amylolyticus DSM 15939 T genome sequencing and assembly	Anoxybacillus amylolyticus DSM 15939	Los Alamos National Laboratory	2690315950	3158269	3376
2264867090	Bacteria	Permanent Draft	GEBA-MDM	EM3 bacterium JGI 0000106-B10 (contamination screened) (GBS-C_001_280)	DOE Joint Genome Institute (JGI)	2264867090	148065	138
2681812865	Bacteria	Permanent Draft	"Genomic Encyclopedia of Type Strains, Phase III (KMG-III): the genomes of soil and plant-associated and newly described type strains"	Edaphobacillus lindanitolerans MNA4	DOE Joint Genome Institute (JGI)	2681812865	3052035	3061
2524614654	Bacteria	Permanent Draft	"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project"	Solobacterium moorei DSM 22971	DOE Joint Genome Institute (JGI)	2524614654	2340999	2507
2595698239	Bacteria	Permanent Draft	The Hungate 1000. A catalogue of reference genomes from the rumen microbiome.	Pseudobutyrivibrio ruminis ACV-9	DOE Joint Genome Institute (JGI)	2595698239	2764267	2591
2684623142	Bacteria	Finished	Rummeliibacillus stabekisii PP9 genome sequencing	Rummeliibacillus stabekisii PP9	Federal University of Rio de Janeiro	2684623142	3420739	3596
2524614531	Bacteria	Permanent Draft	"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project"	Anaerovorax odorimutans DSM 5092	DOE Joint Genome Institute (JGI)	2524614531	3265560	3015
